trial_id,temp,pH,latency_ms,success,seed
1,32.0,7.4,1.058927196591633,1,42
2,32.0,7.4,1.2561516698930806,1,42
3,32.0,7.4,1.250657092897347,1,42
4,32.0,7.4,1.3514862495409559,1,42
5,32.0,7.4,1.1321225292573747,1,42
6,32.0,7.4,1.139801576866204,1,42
7,32.0,7.4,0.8520692897105296,1,42
8,32.0,7.4,1.343195550995167,1,42
9,32.0,7.4,1.1531894829242981,1,42
10,32.0,7.4,1.1098567985936802,1,42
11,32.0,7.4,1.1254237578431006,1,42
12,32.0,7.4,1.2945850421490306,1,42
13,32.0,7.4,1.22904013458301,1,42
14,32.0,7.4,1.1411433684398729,1,42
15,32.0,7.4,1.129451706874486,1,42
16,32.0,7.4,1.342791687765557,1,42
17,32.0,7.4,1.0713783410300652,1,42
18,32.0,7.4,1.1898960025461527,1,42
19,32.0,7.4,1.180564657033751,1,42
20,32.0,7.4,1.2658623148394248,1,42
21,32.0,7.4,1.5951662145579335,1,42
22,32.0,7.4,1.3767288186272273,1,42
23,32.0,7.4,1.242330916977009,1,42
24,32.0,7.4,1.333738274691051,1,42
25,32.0,7.4,1.0730968192900696,1,42
26,32.0,7.4,0.9939456850702242,1,42
27,32.0,7.4,1.02656175028022,1,42
28,32.0,7.4,1.0908089314501936,1,42
29,32.0,7.4,1.2924349997013391,1,42
30,32.0,7.4,1.3345636035204866,1,42
31,32.0,7.4,1.1836364460372073,1,42
32,32.0,7.4,1.1262504851385144,1,42
33,32.0,7.4,1.0043033957637746,1,42
34,32.0,7.4,1.3637725007575403,1,42
35,32.0,7.4,1.374809567040659,1,42
36,32.0,7.4,1.0883805821984,1,42
37,32.0,7.4,1.0691345634677485,1,42
38,32.0,7.4,1.2017439036321829,1,42
39,32.0,7.4,1.4183293240533779,1,42
40,32.0,7.4,1.2588091698408295,1,42
41,32.0,7.4,1.1572431485562664,1,42
42,32.0,7.4,1.2038032428388854,1,42
43,32.0,7.4,1.0166270219459337,1,42
44,32.0,7.4,1.3558939888104806,1,42
45,32.0,7.4,1.1385269839519894,1,42
46,32.0,7.4,1.0061090694537964,1,42
47,32.0,7.4,1.1829478429644844,1,42
48,32.0,7.4,1.153351762316602,1,42
49,32.0,7.4,1.281314524922788,1,42
50,32.0,7.4,1.371841832458467,1,42
51,32.0,7.4,1.401295673229124,1,42
52,32.0,7.4,1.236391913695789,1,42
53,32.0,7.4,1.1768180998539788,1,42
54,32.0,7.4,1.1614904835897342,1,42
55,32.0,7.4,0.8461934171305193,1,42
56,32.0,7.4,1.2598204873501997,1,42
57,32.0,7.4,1.2746274456830549,1,42
58,32.0,7.4,1.1893025130278998,1,42
59,32.0,7.4,1.08219844355155,1,42
60,32.0,7.4,1.4057199913279588,1,42
61,32.0,7.4,1.2096358666629947,1,42
62,32.0,7.4,0.9815107393349493,1,42
63,32.0,7.4,1.226300973848069,1,42
64,32.0,7.4,1.1525604718275273,1,42
65,32.0,7.4,1.2780484218716477,1,42
66,32.0,7.4,1.176487486725121,1,42
67,32.0,7.4,1.2590351940047264,1,42
68,32.0,7.4,1.2111756721660463,1,42
69,32.0,7.4,1.1053177029602559,1,42
70,32.0,7.4,1.3187656556190794,1,42
71,32.0,7.4,1.4058918228936075,1,42
72,32.0,7.4,1.4041164564169004,1,42
73,32.0,7.4,1.144176370425074,1,42
74,32.0,7.4,1.3394452244498227,1,42
75,32.0,7.4,1.4474378964485908,1,42
76,32.0,7.4,1.3326118670601437,1,42
77,32.0,7.4,1.3016655635407364,1,42
78,32.0,7.4,1.043627441704362,1,42
79,32.0,7.4,1.2977317058827524,1,42
80,32.0,7.4,1.190008760090945,1,42
81,32.0,7.4,1.1630178891877658,1,42
82,32.0,7.4,1.2888509235166368,1,42
83,32.0,7.4,1.4001962849382281,1,42
84,32.0,7.4,1.562200824327968,1,42
85,32.0,7.4,1.0136921910483305,1,42
86,32.0,7.4,1.3763273529399065,1,42
87,32.0,7.4,1.2973309428842774,1,42
88,32.0,7.4,1.3799586467868799,1,42
89,32.0,7.4,1.2433854156495798,1,42
90,32.0,7.4,1.3290020158929117,1,42
91,32.0,7.4,1.2362926272910153,1,42
92,32.0,7.4,1.0444570745233834,1,42
93,32.0,7.4,1.3134393998947154,1,42
94,32.0,7.4,1.0806214479384508,1,42
95,32.0,7.4,1.3183295873066574,1,42
96,32.0,7.4,1.387032615043862,1,42
97,32.0,7.4,1.0925940329637047,1,42
